# nruns = 10
# regions = False
# lr = 0.01
# rmsize = 1000
# steps = 50
# playouts = 100
# train_size = 100
# epochs = 20
# batch_size = 5
n,epsilon,loss,eval_reach,eval_crash
1,0.7112244897959183,440.85157804489137,350,162
1,0.6928571428571428,1472.5409133911132,340,172
1,0.6744897959183673,1144.9020248413085,318,194
1,0.6561224489795918,734.1225620269776,249,263
1,0.6377551020408163,1247.9531871795655,244,268
1,0.6193877551020408,1313.961116027832,314,198
1,0.6010204081632653,1198.942280960083,352,160
1,0.5826530612244898,346.8406620025635,307,205
1,0.5642857142857143,484.91896228790284,338,174
1,0.5459183673469388,332.8594268798828,356,156
1,0.5275510204081633,236.6780866622925,320,192
1,0.5091836734693878,897.8431680679321,324,188
1,0.49081632653061225,276.4737850189209,314,198
1,0.47244897959183674,573.7486240386963,356,156
1,0.45408163265306123,729.7022611618042,340,172
1,0.4357142857142857,428.2427345275879,332,180
1,0.4173469387755102,575.2174825668335,344,168
1,0.3989795918367347,320.4162671089172,298,214
1,0.3806122448979592,387.52955131530763,338,174
1,0.3622448979591837,315.2207441329956,346,166
1,0.3438775510204082,173.8889066696167,292,220
1,0.32551020408163267,227.34459028244018,356,156
1,0.30714285714285716,98.48304600715637,342,170
1,0.28877551020408165,200.78901786804198,347,165
1,0.27040816326530615,187.4691770553589,342,170
1,0.25204081632653064,119.55913815498351,340,172
1,0.23367346938775513,224.79368419647216,349,163
1,0.21530612244897962,96.63247747421265,343,169
1,0.1969387755102041,115.9234386920929,316,196
1,0.1785714285714286,68.44723811149598,338,174
1,0.1602040816326531,87.00974860191346,316,196
1,0.1418367346938776,69.30575923919677,344,168
1,0.12346938775510208,72.53992072343826,347,165
1,0.10510204081632657,64.97240505218505,363,149
1,0.08673469387755106,75.44998488426208,350,162
1,0.06836734693877555,102.04726524353028,352,160
1,0.05,61.21914088726044,360,152
2,0.95,429.9763422742486,176,336
2,0.9316326530612244,458.5824010848999,256,256
2,0.9132653061224489,5559.467016601562,276,236
2,0.8948979591836734,6015.748725891113,206,306
2,0.8765306122448979,10785.860571289062,151,361
2,0.8581632653061224,3573.3265022277833,251,261
2,0.8397959183673469,1330.3404027938843,248,264
2,0.8214285714285714,361.5621994972229,276,236
2,0.8030612244897959,1456.0602851867675,274,238
2,0.7846938775510204,11535.007034301758,268,244
2,0.7663265306122449,5212.81538848877,256,256
2,0.7479591836734694,2710.3138431549073,270,242
2,0.7295918367346939,2577.023405456543,201,311
2,0.7112244897959183,1166.3675455093385,228,284
2,0.6928571428571428,2765.248175048828,268,244
2,0.6744897959183673,1534.054857158661,241,271
2,0.6561224489795918,3664.0132690429687,232,280
2,0.6377551020408163,2649.1562088012697,235,277
2,0.6193877551020408,1847.8721603393556,318,194
2,0.6010204081632653,2071.2785472869873,314,198
2,0.5826530612244898,1193.109909439087,270,242
2,0.5642857142857143,734.9932361602783,321,191
2,0.5459183673469388,1773.4721939086915,305,207
2,0.5275510204081633,1319.3278549194335,329,183
