# nruns = 10
# regions = True
# lr = 0.01
# rmsize = 1000
# steps = 50
# playouts = 100
# train_size = 100
# epochs = 20
# batch_size = 5
n,epsilon,loss,eval_reach,eval_crash
1,0.1602040816326531,66.22919149398804,368,144
1,0.1418367346938776,77.31573987007141,368,144
1,0.12346938775510208,65.21414804458618,368,144
1,0.10510204081632657,103.56031386852264,368,144
1,0.08673469387755106,56.7336163520813,368,144
1,0.06836734693877555,65.71176815032959,368,144
1,0.05,59.69435460567475,368,144
2,0.95,73.2781135082245,0,512
2,0.9316326530612244,3958.842138671875,256,256
2,0.9132653061224489,9322.119592285157,256,256
2,0.8948979591836734,10238.427459716797,83,429
2,0.8765306122448979,2764.055856323242,128,384
2,0.8581632653061224,7606.283285522461,82,430
2,0.8397959183673469,4756.697551727295,174,338
2,0.8214285714285714,3771.2738372802733,252,260
2,0.8030612244897959,4271.196170043945,314,198
2,0.7846938775510204,1452.3175567626954,317,195
2,0.7663265306122449,1108.5926330566406,322,190
2,0.7479591836734694,1127.175714111328,330,182
2,0.7295918367346939,1193.573886871338,288,224
2,0.7112244897959183,554.3195978164673,340,172
2,0.6928571428571428,720.5363687515259,294,218
2,0.6744897959183673,353.7485050201416,330,182
2,0.6561224489795918,630.6394174575805,292,220
2,0.6377551020408163,268.64915041923524,348,164
2,0.6193877551020408,584.391459274292,296,216
2,0.6010204081632653,613.7252307415008,334,178
2,0.5826530612244898,481.6245716094971,344,168
2,0.5642857142857143,218.41442852020265,352,160
2,0.5459183673469388,155.41346921920777,354,158
2,0.5275510204081633,80.6368974685669,352,160
2,0.5091836734693878,159.66969623565674,360,152
2,0.49081632653061225,163.39453678131105,334,178
2,0.47244897959183674,88.99658205509186,352,160
2,0.45408163265306123,189.92784976959229,360,152
2,0.4357142857142857,87.58332800865173,350,162
2,0.4173469387755102,171.94408321380615,322,190
2,0.3989795918367347,64.28566403388977,308,204
2,0.3806122448979592,61.60502109527588,342,170
2,0.3622448979591837,94.45319907665252,314,198
2,0.3438775510204082,65.01047768592835,352,160
2,0.32551020408163267,227.17658925056458,350,162
2,0.30714285714285716,380.5557443857193,356,156
2,0.28877551020408165,139.32570533752443,306,206
2,0.27040816326530615,253.9197702407837,321,191
2,0.25204081632653064,102.26166625022888,360,152
2,0.23367346938775513,79.9523549079895,350,162
2,0.21530612244897962,46.321172094345094,357,155
2,0.1969387755102041,82.92523174285888,334,178
2,0.1785714285714286,69.52451264858246,360,152
2,0.1602040816326531,56.70928256511688,356,156
2,0.1418367346938776,120.11468341350556,354,158
2,0.12346938775510208,50.287233281135556,354,158
2,0.10510204081632657,183.04011449813842,364,148
2,0.08673469387755106,75.01652088165284,364,148
2,0.06836734693877555,88.31028504371643,362,150
2,0.05,65.5134486913681,352,160
3,0.95,157.09573014751078,152,360
3,0.9316326530612244,5785.491882324219,256,256
3,0.9132653061224489,11705.325268554687,256,256
3,0.8948979591836734,8307.344131469727,128,384
3,0.8765306122448979,7905.238854980469,128,384
3,0.8581632653061224,10789.641473388672,86,426
3,0.8397959183673469,4227.042887878418,186,326
3,0.8214285714285714,9022.82308959961,58,454
3,0.8030612244897959,8228.814894104004,147,365
3,0.7846938775510204,11765.486776733398,176,336
3,0.7663265306122449,6188.1037322998045,209,303
3,0.7479591836734694,4618.730372619629,256,256
3,0.7295918367346939,6030.696014404297,311,201
3,0.7112244897959183,5166.461912536621,236,276
3,0.6928571428571428,1210.506150817871,306,206
3,0.6744897959183673,794.2693866729736,312,200
3,0.6561224489795918,836.7061500549316,126,386
3,0.6377551020408163,1241.06937789917,348,164
3,0.6193877551020408,993.0103466033936,303,209
3,0.6010204081632653,1396.1326030731202,260,252
3,0.5826530612244898,1717.5591583251953,334,178
3,0.5642857142857143,987.2126163482666,320,192
3,0.5459183673469388,539.2058624267578,362,150
3,0.5275510204081633,810.5102787017822,342,170
3,0.5091836734693878,267.41352405548093,366,146
3,0.49081632653061225,825.9150351524353,362,150
3,0.47244897959183674,412.31690587997434,338,174
3,0.45408163265306123,372.8861328125,331,181
3,0.4357142857142857,111.86245956420899,334,178
3,0.4173469387755102,209.4396897315979,258,254
3,0.3989795918367347,327.43917045593264,348,164
3,0.3806122448979592,217.59339199066162,294,218
3,0.3622448979591837,392.34523277282716,331,181
3,0.3438775510204082,133.67005214691162,362,150
3,0.32551020408163267,257.37075247764585,360,152
3,0.30714285714285716,122.56407318115234,339,173
3,0.28877551020408165,341.4169415473938,348,164
3,0.27040816326530615,196.41242694854736,347,165
3,0.25204081632653064,144.8994990825653,332,180
3,0.23367346938775513,164.26576871871947,323,189
3,0.21530612244897962,123.90219526290893,340,172
3,0.1969387755102041,97.79693622589112,357,155
3,0.1785714285714286,114.49295578002929,356,156
3,0.1602040816326531,131.14058055877686,344,168
3,0.1418367346938776,100.42648723125458,338,174
3,0.12346938775510208,101.12987408638,344,168
3,0.10510204081632657,127.57726573944092,348,164
3,0.08673469387755106,77.76498990058899,322,190
3,0.06836734693877555,93.36286635398865,361,151
3,0.05,65.48892643451691,363,149
4,0.95,156.27647117450834,244,268
4,0.9316326530612244,7218.856164550782,256,256
4,0.9132653061224489,11837.088696289062,128,384
4,0.8948979591836734,7599.397064208984,256,256
4,0.8765306122448979,5965.207469177246,166,346
4,0.8581632653061224,7423.565036010742,124,388
4,0.8397959183673469,4080.776092529297,130,382
4,0.8214285714285714,6943.411709594727,94,418
4,0.8030612244897959,8080.516854858399,166,346
4,0.7846938775510204,4993.406539916992,168,344
4,0.7663265306122449,5650.748270416259,305,207
4,0.7479591836734694,2139.682307434082,304,208
4,0.7295918367346939,1215.7068611145019,348,164
4,0.7112244897959183,2749.998440551758,338,174
4,0.6928571428571428,1271.8976711273194,364,148
4,0.6744897959183673,1165.3706886291504,350,162
4,0.6561224489795918,311.31267433166505,368,144
4,0.6377551020408163,878.0170827865601,355,157
4,0.6193877551020408,911.6634223937988,208,304
4,0.6010204081632653,477.1269046783447,313,199
4,0.5826530612244898,841.1791641235352,254,258
4,0.5642857142857143,1245.7579704284667,314,198
4,0.5459183673469388,698.5696908950806,284,228
4,0.5275510204081633,630.9791093826294,345,167
4,0.5091836734693878,764.2782197952271,314,198
4,0.49081632653061225,536.0740352630615,357,155
4,0.47244897959183674,259.60609855651853,360,152
4,0.45408163265306123,118.1398992061615,346,166
4,0.4357142857142857,279.80844340324404,348,164
4,0.4173469387755102,238.19554843902588,306,206
4,0.3989795918367347,367.43945107460024,362,150
4,0.3806122448979592,131.80610675811766,341,171
4,0.3622448979591837,114.69710092544555,353,159
4,0.3438775510204082,233.20529022216797,368,144
4,0.32551020408163267,150.19471759796141,368,144
4,0.30714285714285716,121.0923674583435,368,144
4,0.28877551020408165,133.02007637023925,368,144
4,0.27040816326530615,219.53013043403627,368,144
4,0.25204081632653064,58.95556483268738,366,146
4,0.23367346938775513,225.5052538871765,352,160
4,0.21530612244897962,83.9292366027832,364,148
4,0.1969387755102041,110.00208353996277,368,144
4,0.1785714285714286,67.5784538269043,367,145
4,0.1602040816326531,48.025518798828124,368,144
4,0.1418367346938776,83.3396360874176,368,144
4,0.12346938775510208,71.77237510681152,360,152
4,0.10510204081632657,89.8594814300537,348,164
4,0.08673469387755106,60.30700442790985,368,144
4,0.06836734693877555,79.47735304832459,364,148
4,0.05,62.926618576049805,368,144
5,0.95,32.61754796206951,193,319
5,0.9316326530612244,3257.134393310547,256,256
5,0.9132653061224489,4261.4246826171875,256,256
5,0.8948979591836734,8093.431103515625,162,350
5,0.8765306122448979,6288.071182250977,119,393
5,0.8581632653061224,22348.059204101562,92,420
5,0.8397959183673469,7120.030505371094,172,340
5,0.8214285714285714,2993.0395904541015,154,358
5,0.8030612244897959,6043.957501220703,148,364
5,0.7846938775510204,3991.471939086914,232,280
5,0.7663265306122449,5064.786840820312,247,265
5,0.7479591836734694,1067.7082527160644,154,358
5,0.7295918367346939,2516.6571815490724,210,302
5,0.7112244897959183,1234.2902481079102,334,178
5,0.6928571428571428,693.3942672729493,336,176
5,0.6744897959183673,256.5691455841064,345,167
5,0.6561224489795918,649.1171997070312,336,176
5,0.6377551020408163,582.4756912231445,346,166
5,0.6193877551020408,523.306074333191,350,162
5,0.6010204081632653,214.14930381774903,360,152
5,0.5826530612244898,399.4711143493652,366,146
5,0.5642857142857143,251.5619426727295,360,152
5,0.5459183673469388,575.8283672332764,366,146
5,0.5275510204081633,423.715797996521,315,197
5,0.5091836734693878,656.5635240554809,342,170
5,0.49081632653061225,132.78948078155517,324,188
5,0.47244897959183674,395.4203230857849,356,156
5,0.45408163265306123,286.63746757507323,359,153
5,0.4357142857142857,89.05092101097107,351,161
5,0.4173469387755102,257.66385450363157,368,144
5,0.3989795918367347,124.60681347846985,368,144
5,0.3806122448979592,121.23027410507203,366,146
5,0.3622448979591837,140.6833198070526,275,237
5,0.3438775510204082,569.6292562484741,364,148
5,0.32551020408163267,165.36936044692993,368,144
5,0.30714285714285716,116.319344997406,358,154
5,0.28877551020408165,193.90280532836914,368,144
5,0.27040816326530615,90.94648265838623,354,158
5,0.25204081632653064,144.61536991596222,365,147
5,0.23367346938775513,168.18744187355043,368,144
5,0.21530612244897962,108.0795590877533,368,144
5,0.1969387755102041,122.07005975246429,358,154
5,0.1785714285714286,100.56928057670594,350,162
5,0.1602040816326531,154.20255303382874,368,144
5,0.1418367346938776,104.37344226837158,368,144
5,0.12346938775510208,77.78299236297607,356,156
5,0.10510204081632657,70.46977849006653,366,146
5,0.08673469387755106,73.44179697036743,365,147
5,0.06836734693877555,111.27683491706848,368,144
5,0.05,73.16493711471557,368,144
